contains_dock,city,url,address,bedrooms,bathrooms,sqft,listing_price,cash_down_payment,loan_type,rate,remaining_balance,home_total
False,Griffin,https://www.withroam.com/listing/353-WENTWORTH-WAY-GRIFFIN-GA-30224/165838,"353 Wentworth Way, Griffin, GA 30224",4,4,3900,"$515,000","$184,772",,2.9%,"$330,227","$2,533"
False,Dallas,https://www.withroam.com/listing/572-BOULDER-VIEW-PKWY-DALLAS-GA-30157/269379,"572 Boulder View Pkwy, Dallas, GA 30157",5,3,2712,"$430,000","$184,781",,2.96%,"$245,218","$1,976"
False,Atlanta,https://www.withroam.com/listing/2544-CASTELLAN-DR-ATLANTA-GA-30316/219395,"2544 Castellan Dr, Atlanta, GA 30316",3,3,1566,"$310,000","$99,481",,2.9%,"$210,518","$1,747"
False,Atlanta,https://www.withroam.com/listing/1280-W-PEACHTREE-ST-NW-APT-2302-2302-ATLANTA-GA-30309/207761,"1280 W Peachtree St NW Apt 2302 # 2302, Atlanta, GA 30309",1,1,625,"$206,000","$40,353",,2.8%,"$165,646","$1,577"
False,Suwanee,https://www.withroam.com/listing/570-WHITE-STAG-CT-SUWANEE-GA-30024/266610,"570 White Stag Ct, Suwanee, GA 30024",4,3,2295,"$505,000","$320,582",,2.625%,"$184,417","$1,776"
False,Fayetteville,https://www.withroam.com/listing/835-VIRGINIA-PARK-FAYETTEVILLE-GA-30215/264899,"835 Virginia Park, Fayetteville, GA 30215",4,3,2735,"$439,000","$171,001",,3%,"$267,998","$2,080"
False,Locust Grove,https://www.withroam.com/listing/3403-BILL-GARDNER-PKWY-LOCUST-GROVE-GA-30248/211611,"3403 Bill Gardner Pkwy, Locust Grove, GA 30248",4,2,2690,"$475,000","$130,544",,2.375%,"$344,455","$2,279"
False,Conyers,https://www.withroam.com/listing/1700-PROSPECT-WAY-CONYERS-GA-30094/252737,"1700 Prospect Way, Conyers, GA 30094",3,3,1988,"$324,900","$72,227",,2.9%,"$252,672","$1,954"
False,Villa Rica,https://www.withroam.com/listing/405-LAKE-DR-VILLA-RICA-GA-30180/135648,"405 Lake Dr, Villa Rica, GA 30180",3,2,1216,"$130,000","$25,747",,3.09%,"$104,252",$739
False,Dallas,https://www.withroam.com/listing/81-ROUNDTREE-CT-DALLAS-GA-30132/160546,"81 Roundtree Ct, Dallas, GA 30132",4,3,2004,"$415,000","$51,661",,3.76%,"$363,338","$2,437"
False,Dacula,https://www.withroam.com/listing/3298-ALCOVY-CLUB-CT-DACULA-GA-30019/258404,"3298 Alcovy Club Ct, Dacula, GA 30019",4,5,3982,"$949,000","$249,718",,3.89%,"$699,281","$5,247"
False,Fayetteville,https://www.withroam.com/listing/190-THRUSHWOOD-DR-FAYETTEVILLE-GA-30215/140089,"190 Thrushwood Dr, Fayetteville, GA 30215",6,5,5116,"$620,000","$220,432",,2.1%,"$399,567","$2,558"
False,Griffin,https://www.withroam.com/listing/907-SPRINGER-DR-GRIFFIN-GA-30224/225787,"907 Springer Dr, Griffin, GA 30224",3,3,2616,"$399,900","$184,369",,3%,"$215,530","$1,701"
False,Atlanta,https://www.withroam.com/listing/878-PEACHTREE-ST-NE-APT-431-431-ATLANTA-GA-30309/58483,"878 Peachtree St NE Apt 431 # 431, Atlanta, GA 30309",1,1,956,"$307,900","$84,031",,2.87%,"$223,868","$2,064"
False,Winder,https://www.withroam.com/listing/980-LAKE-ROCKWELL-WAY-WINDER-GA-30680/268646,"980 Lake Rockwell Way, Winder, GA 30680",4,3,2948,"$510,000","$172,743",,4.16%,"$337,256","$2,774"
False,Kennesaw,https://www.withroam.com/listing/1951-BARRETT-KNOLL-CIR-NW-KENNESAW-GA-30152/271263,"1951 Barrett Knoll Cir NW, Kennesaw, GA 30152",5,3,2531,"$595,900","$320,114",,3.02%,"$275,786","$2,367"
False,Athens,https://www.withroam.com/listing/212-HUNTINGTON-SHOALS-DR-ATHENS-GA-30606/226464,"212 Huntington Shoals Dr, Athens, GA 30606",4,2,2194,"$385,000","$71,433",,3.55%,"$313,566","$2,379"
False,Lawrenceville,https://www.withroam.com/listing/363-LOBDALE-FALLS-DR-LAWRENCEVILLE-GA-30045/163480,"363 Lobdale Falls Dr, Lawrenceville, GA 30045",3,3,1446,"$360,000","$105,507",,2.8%,"$254,492","$2,036"
False,Peachtree City,https://www.withroam.com/listing/405-ABBEY-RD-PEACHTREE-CITY-GA-30269/273635,"405 Abbey Rd, Peachtree City, GA 30269",4,3,1540,"$380,000","$224,377",,2.98%,"$155,623","$1,356"
False,Douglasville,https://www.withroam.com/listing/3675-BROOKHOLLOW-DR-DOUGLASVILLE-GA-30135/274816,"3675 Brookhollow Dr, Douglasville, GA 30135",6,5,4212,"$649,999","$361,097",,3.5%,"$288,901","$2,525"
False,Atlanta,https://www.withroam.com/listing/1057-FORTRESS-AVE-SW-ATLANTA-GA-30315/216963,"1057 Fortress Ave SW, Atlanta, GA 30315",3,2,1300,"$285,000","$118,963",,4.62%,"$166,036","$1,515"
False,Douglasville,https://www.withroam.com/listing/8451-DUNCAN-ST-DOUGLASVILLE-GA-30134/171664,"8451 Duncan St, Douglasville, GA 30134",3,2,1272,"$249,900","$21,581",,4.5%,"$228,318","$1,699"
False,Jonesboro,https://www.withroam.com/listing/2275-HOLLY-RUN-DR-JONESBORO-GA-30236/291066,"2275 Holly Run Dr, Jonesboro, GA 30236",3,3,2012,"$335,000","$95,542",,5.6%,"$239,457","$2,083"
False,Monroe,https://www.withroam.com/listing/2975-SUMMIT-LN-MONROE-GA-30655/270317,"2975 Summit Ln, Monroe, GA 30655",4,3,2455,"$375,000","$102,811",,5.25%,"$272,188","$2,431"
False,Atlanta,https://www.withroam.com/listing/878-PEACHTREE-ST-NE-APT-711-711-ATLANTA-GA-30309/178785,"878 Peachtree St NE Apt 711 # 711, Atlanta, GA 30309",1,1,1030,"$329,900","$107,422",,2.875%,"$222,477","$2,132"
False,Senoia,https://www.withroam.com/listing/230-SOUTH-RDG-Senoia-GA-30276/90160,"230 South Rdg, Senoia, GA 30276",4,3,2415,"$485,000","$168,421",,2.75%,"$316,578","$2,092"
False,Woodstock,https://www.withroam.com/listing/775-STICKLEY-OAK-WAY-WOODSTOCK-GA-30189/135216,"775 Stickley Oak Way, Woodstock, GA 30189",3,3,2628,"$625,000","$34,835",,4.875%,"$590,164","$4,371"
False,Conyers,https://www.withroam.com/listing/2080-BELMONT-CIR-CONYERS-GA-30012/265650,"2080 Belmont Cir, Conyers, GA 30012",3,3,1624,"$269,000","$148,519",,2.88%,"$120,480","$1,047"
False,Fayetteville,https://www.withroam.com/listing/392-HIGHWAY-314-FAYETTEVILLE-GA-30214/207779,"392 Highway 314, Fayetteville, GA 30214",4,3,2386,"$315,000","$121,551",,2.5%,"$193,448","$1,287"
False,Ellenwood,https://www.withroam.com/listing/113-EXPEDITION-DR-ELLENWOOD-GA-30294/245292,"113 Expedition Dr, Ellenwood, GA 30294",4,3,2570,"$410,000","$150,645",,2.7%,"$259,354","$2,004"
False,Covington,https://www.withroam.com/listing/9140-N-LINKS-DR-COVINGTON-GA-30014/20139,"9140 N Links Dr, Covington, GA 30014",9,5,1435,"$520,000","$180,335",,2.88%,"$339,664","$2,653"
False,Dacula,https://www.withroam.com/listing/1879-REDFERN-RD-DACULA-GA-30019/204235,"1879 Redfern Rd, Dacula, GA 30019",4,2,2205,"$429,900","$25,178",,4.99%,"$404,721","$3,057"
False,Atlanta,https://www.withroam.com/listing/145-HOLLY-RD-NW-ATLANTA-GA-30314/129967,"145 Holly Rd NW, Atlanta, GA 30314",3,2,1102,"$285,000","$105,159",,2.9%,"$179,840","$1,400"
False,Fayetteville,https://www.withroam.com/listing/165-NANDOVER-WAY-FAYETTEVILLE-GA-30215/188853,"165 Nandover Way, Fayetteville, GA 30215",3,2,1579,"$329,000","$129,430",,2.9%,"$199,569","$1,537"
False,Atlanta,https://www.withroam.com/listing/1124-LAROSA-TER-SW-ATLANTA-GA-30310/240185,"1124 Larosa Ter SW, Atlanta, GA 30310",3,2,1277,"$414,000","$41,074",,5.125%,"$372,925","$2,741"
False,Canton,https://www.withroam.com/listing/239-VALLEY-XING-CANTON-GA-30114/136040,"239 Valley Xing, Canton, GA 30114",3,4,1891,"$322,500","$32,370",,5.12%,"$290,129","$2,400"
False,Rex,https://www.withroam.com/listing/6258-ELLENWOOD-DR-REX-GA-30273/33083,"6258 Ellenwood Dr, Rex, GA 30273",3,2,1608,"$220,000","$33,465",,4.75%,"$186,534","$1,485"
False,Fayetteville,https://www.withroam.com/listing/11765-FAIRWAY-OVERLOOK-FAYETTEVILLE-GA-30215/149823,"11765 Fairway Overlook, Fayetteville, GA 30215",3,2,1643,"$295,000","$161,946",,3.87%,"$133,053","$1,242"
False,Powder Springs,https://www.withroam.com/listing/5113-HERITAGE-OAKS-LN-SW-POWDER-SPRINGS-GA-30127/260311,"5113 Heritage Oaks Ln SW, Powder Springs, GA 30127",4,2,2416,"$424,900","$242,914",,2.7%,"$181,985","$1,541"
False,Locust Grove,https://www.withroam.com/listing/8069-LOUIS-DR-LOCUST-GROVE-GA-30248/128234,"8069 Louis Dr, Locust Grove, GA 30248",5,4,3552,"$439,500","$161,968",,3.25%,"$277,531","$1,975"
False,Newnan,https://www.withroam.com/listing/17-ALEXANDRIA-CIR-NEWNAN-GA-30265/255744,"17 Alexandria Cir, Newnan, GA 30265",3,2,2226,"$449,000","$64,554",,5.375%,"$384,445","$2,899"
False,Dacula,https://www.withroam.com/listing/815-TANNER-RD-DACULA-GA-30019/244300,"815 Tanner Rd, Dacula, GA 30019",3,2,1337,"$379,000","$73,382",,5.25%,"$305,617","$2,443"
False,Dallas,https://www.withroam.com/listing/406-CRESCENT-WOODE-DR-DALLAS-GA-30157/246225,"406 Crescent Woode Dr, Dallas, GA 30157",3,3,1976,"$310,000","$135,965",,2.86%,"$174,034","$1,563"
False,Hampton,https://www.withroam.com/listing/10736-SOUTHWOOD-DR-HAMPTON-GA-30228/213159,"10736 Southwood Dr, Hampton, GA 30228",4,2,2504,"$330,000","$145,864",,4.25%,"$184,135","$1,601"
False,Acworth,https://www.withroam.com/listing/5114-VERBENA-DR-NW-ACWORTH-GA-30102/123274,"5114 Verbena Dr NW, Acworth, GA 30102",5,4,4007,"$497,000","$229,361",,2.75%,"$267,638","$1,950"
False,Conyers,https://www.withroam.com/listing/2585-GOLFVIEW-TER-SE-CONYERS-GA-30013/194809,"2585 Golfview Ter SE, Conyers, GA 30013",3,2,2864,"$375,000","$168,379",,2.9%,"$206,620","$1,623"
False,Kingston,https://www.withroam.com/listing/23-OXFORD-LN-KINGSTON-GA-30145/132291,"23 Oxford Ln, Kingston, GA 30145",4,3,2000,"$330,000","$154,657",,2.8%,"$175,342","$1,461"
False,Lilburn,https://www.withroam.com/listing/4020-RED-CANOE-BND-LILBURN-GA-30047/136598,"4020 Red Canoe Bnd, Lilburn, GA 30047",4,2,3563,"$675,000","$310,954",,2.9%,"$364,045","$3,192"
False,Woodstock,https://www.withroam.com/listing/410-LIMA-CT-WOODSTOCK-GA-30188/253741,"410 Lima Ct, Woodstock, GA 30188",4,3,3016,"$385,000","$183,516",,2.99%,"$201,483","$1,590"
False,Jonesboro,https://www.withroam.com/listing/9340-BASSWOOD-WAY-JONESBORO-GA-30236/228557,"9340 Basswood Way, Jonesboro, GA 30236",5,2,3918,"$339,000","$139,201",,3.28%,"$199,798","$1,627"
False,Mansfield,https://www.withroam.com/listing/946-GAITHERS-RD-MANSFIELD-GA-30055/132662,"946 Gaithers Rd, Mansfield, GA 30055",3,3,4826,"$649,000","$296,324",,3%,"$352,675","$2,612"
False,Douglasville,https://www.withroam.com/listing/3213-BLACKLEY-OLD-RD-DOUGLASVILLE-GA-30135/179007,"3213 Blackley Old Rd, Douglasville, GA 30135",5,5,3444,"$585,000","$238,795",,3.5%,"$346,204","$2,698"
False,Austell,https://www.withroam.com/listing/4691-BO-HENDRICK-DR-AUSTELL-GA-30106/178996,"4691 Bo Hendrick Dr, Austell, GA 30106",3,2,1284,"$284,999","$113,207",,3.45%,"$171,791","$1,348"
False,Bonaire,https://www.withroam.com/listing/105-WRIGHT-LN-BONAIRE-GA-31005/248008,"105 Wright Ln, Bonaire, GA 31005",3,3,1630,"$289,000","$163,314",,2.25%,"$125,685",$910
False,Newnan,https://www.withroam.com/listing/283-SAWGRASS-MANOR-DR-NEWNAN-GA-30265/191779,"283 Sawgrass Manor Dr, Newnan, GA 30265",3,2,1322,"$319,900","$44,426",,5.375%,"$275,473","$2,077"
False,Kennesaw,https://www.withroam.com/listing/3163-OLD-41-HWY-NW-KENNESAW-GA-30144/257385,"3163 Old 41 Hwy NW, Kennesaw, GA 30144",4,3,2600,"$389,900","$216,412",,2.95%,"$173,487","$1,474"
False,Powder Springs,https://www.withroam.com/listing/3215-ROSE-PETAL-LN-POWDER-SPRINGS-GA-30127/240355,"3215 Rose Petal Ln, Powder Springs, GA 30127",4,3,3498,"$460,000","$222,492",,2.875%,"$237,507","$1,733"
False,Atlanta,https://www.withroam.com/listing/253-LAWTON-ST-SW-ATLANTA-GA-30314/204693,"253 Lawton St SW, Atlanta, GA 30314",,,,"$399,990","$58,177",,5.375%,"$341,812","$2,591"
False,Canton,https://www.withroam.com/listing/251-PARC-DR-CANTON-GA-30114/255712,"251 Parc Dr, Canton, GA 30114",4,4,3484,"$659,900","$365,436",,3.26%,"$294,463","$2,607"
False,Acworth,https://www.withroam.com/listing/5729-BROOKSTONE-WALK-NW-ACWORTH-GA-30101/243251,"5729 Brookstone Walk NW, Acworth, GA 30101",6,4,4417,"$720,000","$376,973",,2.78%,"$343,026","$2,839"
False,Locust Grove,https://www.withroam.com/listing/703-PAUL-REVERE-DR-LOCUST-GROVE-GA-30248/226932,"703 Paul Revere Dr, Locust Grove, GA 30248",5,3,2309,"$355,000","$180,867",,2.9%,"$174,132","$1,437"
False,Griffin,https://www.withroam.com/listing/306-VINE-CT-GRIFFIN-GA-30223/276673,"306 Vine Ct, Griffin, GA 30223",4,3,1793,"$317,660","$50,044",,5.49%,"$267,615","$2,138"
False,Atlanta,https://www.withroam.com/listing/1405-ATTWATER-DR-ATLANTA-GA-30316/137754,"1405 Attwater Dr, Atlanta, GA 30316",4,4,1850,"$395,000","$108,965",,5.375%,"$286,034","$2,890"
False,Lawrenceville,https://www.withroam.com/listing/989-PARK-KNOLL-CT-LAWRENCEVILLE-GA-30043/137075,"989 Park Knoll Ct, Lawrenceville, GA 30043",5,3,2990,"$450,000","$235,210",,3%,"$214,789","$1,810"
False,Stone Mountain,https://www.withroam.com/listing/1053-ALLGOOD-RD-STONE-MOUNTAIN-GA-30083/179189,"1053 Allgood Rd, Stone Mountain, GA 30083",2,3,1593,"$375,000","$221,835",,2.98%,"$153,164","$1,410"
False,Cumming,https://www.withroam.com/listing/4240-SPRING-RIDGE-DR-CUMMING-GA-30028/251624,"4240 Spring Ridge Dr, Cumming, GA 30028",4,3,2226,"$500,000","$274,040",,2.9%,"$225,959","$2,070"
False,Suwanee,https://www.withroam.com/listing/3335-ASHTON-DR-SUWANEE-GA-30024/250640,"3335 Ashton Dr, Suwanee, GA 30024",3,2,3015,"$619,000","$448,657",,3.09%,"$170,342","$2,127"
False,Loganville,https://www.withroam.com/listing/1510-PECAN-PLANTATION-CT-LOGANVILLE-GA-30052/247934,"1510 Pecan Plantation Ct, Loganville, GA 30052",4,4,2360,"$659,900","$365,754",,2.88%,"$294,145","$2,544"
False,Stone Mountain,https://www.withroam.com/listing/3321-BORDER-DR-STONE-MOUNTAIN-GA-30087/282548,"3321 Border Dr, Stone Mountain, GA 30087",3,2,1575,"$240,000","$109,591",,3.6%,"$130,408","$1,105"
False,Carrollton,https://www.withroam.com/listing/102-WOODED-GLEN-LN-CARROLLTON-GA-30117/213766,"102 Wooded Glen Ln, Carrollton, GA 30117",3,2,2561,"$449,900","$221,748",,3.375%,"$228,152","$1,879"
False,Canton,https://www.withroam.com/listing/3501-GREAT-SKY-PKWY-CANTON-GA-30114/195596,"3501 Great Sky Pkwy, Canton, GA 30114",4,3,2275,"$440,000","$200,050",,3.68%,"$239,949","$2,125"
False,Lithonia,https://www.withroam.com/listing/6420-MARBUT-RD-LITHONIA-GA-30058/246216,"6420 Marbut Rd, Lithonia, GA 30058",2,3,1152,"$210,000","$44,351",,5.5%,"$165,648","$1,432"
False,Conyers,https://www.withroam.com/listing/2671-CLUB-FOREST-CT-SE-CONYERS-GA-30013/260976,"2671 Club Forest Ct SE, Conyers, GA 30013",3,2,1844,"$310,000","$166,309",,4.125%,"$143,690","$1,313"
False,Jonesboro,https://www.withroam.com/listing/999-DIXIE-DR-JONESBORO-GA-30236/200427,"999 Dixie Dr, Jonesboro, GA 30236",3,2,1374,"$225,000","$112,195",,3.5%,"$112,804",$954
False,Atlanta,https://www.withroam.com/listing/3466-CARRIAGE-CHASE-RD-ATLANTA-GA-30349/210734,"3466 Carriage Chase Rd, Atlanta, GA 30349",3,3,1544,"$400,000","$228,161",,3%,"$171,838","$1,562"
False,Atlanta,https://www.withroam.com/listing/1342-RIETVELD-ROW-NW-ATLANTA-GA-30318/219360,"1342 Rietveld Row NW, Atlanta, GA 30318",2,2,1820,"$423,500","$188,221",,3.94%,"$235,278","$2,483"
False,Locust Grove,https://www.withroam.com/listing/5269-HERON-BAY-BLVD-LOCUST-GROVE-GA-30248/196178,"5269 Heron Bay Blvd, Locust Grove, GA 30248",5,5,4158,"$692,000","$335,761",,3.7%,"$356,239","$2,951"
False,Hiram,https://www.withroam.com/listing/488-MORRIS-RD-HIRAM-GA-30141/149306,"488 Morris Rd, Hiram, GA 30141",4,3,3053,"$499,900","$340,902",,4.875%,"$158,997","$2,291"
